NPI,PROVIDER_NAME,PRIMARY_SPECIALTY,DISEASE,SECONDARY_SPECIALTY,TELEHEALTH,FACILITY_NAME,STATE,ZIP,COUNTY_FIPS,COUNTY,TOT_BENES,TOT_SRVCS,BENE_AVG_RISK_SCRE,TOTAL_UTILIZATION_EXACT,AVG_UTILIZATION_PERCENTILE,TELEHEALTH_FLAG,AREA_PROVIDER_COUNT,AREA_TOTAL_BENEFICIARIES,DEMAND_PROXY,AREA_TOTAL_SERVICES,BENEFICIARIES_PER_PROVIDER,DEMAND_PER_PROVIDER,REQUIRED_PROVIDERS,PROVIDER_SHORTAGE,ADEQUACY_SCORE,DEMAND_PRESSURE_SCORE,SERVICES_PER_BENEFICIARY,UTILIZATION_PRESSURE_SCORE,AREA_RISK_SCORE,RISK_SCORE,ACCESS_LEVEL,RECOMMENDED_ADDITIONAL_PROVIDERS,BENEFICIARY_SHARE_OF_AREA,SERVICE_SHARE_OF_AREA,PROVIDER_RISK_SCORE,UTILIZATION_INTENSITY_SCORE,CAPACITY_LOAD_INDEX
1800000001,GOMEZ FATIMA,Cardiology,Heart Disease,Cardiovascular Imaging,No,ADVANCED CARDIOLOGY CENTER - FLINT,MI,48540,26049,Genesee County,4823,16288.1,2.8019,8.4,25.32,0,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.3772,78.67,55.63,28.81,ADEQUATE,0,0.119847,0.114542,83.4,48.12,689.0
1800000002,REED MAYA,Cardiology,Heart Disease,Cardiovascular Imaging,Yes,CARDIAC WELLNESS GROUP - DAVISON,MI,48578,26049,Genesee County,3743,14578.9,2.5763,10.3,44.97,1,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.895,78.67,55.63,28.81,ADEQUATE,0,0.09301,0.102522,71.55,64.08,534.71
1800000003,YOUNG THOMAS,Cardiology,Heart Disease,Cardiovascular Imaging,Yes,HEARTCARE SPECIALISTS - BURTON,MI,48568,26049,Genesee County,5562,21722.9,1.9692,5.4,51.31,1,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.9056,78.67,55.63,28.81,ADEQUATE,0,0.13821,0.152761,29.8,22.45,794.57
1800000004,JACKSON AMELIA,Cardiology,Heart Disease,Cardiovascular Imaging,Yes,HEARTCARE SPECIALISTS - BURTON,MI,48532,26049,Genesee County,7361,24079.2,2.0055,9.3,40.15,1,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.2712,78.67,55.63,28.81,ADEQUATE,0,0.182914,0.169331,31.87,55.35,1051.57
1800000005,ROBERTS HANNAH,Cardiology,Heart Disease,Geriatric Medicine,No,ADVANCED CARDIOLOGY CENTER - FLINT,MI,48538,26049,Genesee County,6388,17135.1,2.4248,10.5,42.13,0,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,2.6824,78.67,55.63,28.81,ADEQUATE,0,0.158736,0.120498,61.55,65.92,912.57
1800000006,ANDERSON NADIA,Cardiology,Heart Disease,Geriatric Medicine,Yes,ADVANCED CARDIOLOGY CENTER - DAVISON,MI,48519,26049,Genesee County,6621,22808.7,2.9835,8.5,42.12,1,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,3.4449,78.67,55.63,28.81,ADEQUATE,0,0.164526,0.160396,90.65,49.0,945.86
1800000007,KIM WILLIAM,Cardiology,Heart Disease,Internal Medicine,No,ADVANCED CARDIOLOGY CENTER - DAVISON,MI,48546,26049,Genesee County,5745,25589.2,2.0076,12.1,49.34,0,7,40243,40243.0,142202.1,5749.0,5749.0,7,0,100.0,34.67,4.4542,78.67,55.63,28.81,ADEQUATE,0,0.142758,0.17995,32.0,80.23,820.71
1800000008,EVANS ZOE,Endocrinology,Diabetes,Internal Medicine,No,ENDOCRINE SPECIALISTS GROUP - FLINT,MI,48553,26049,Genesee County,8378,37768.4,2.0174,10.0,55.32,0,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,4.508,80.0,15.41,35.94,ADEQUATE,1,0.171263,0.213816,32.95,61.72,1196.86
1800000009,NELSON CARLOS,Endocrinology,Diabetes,Internal Medicine,Yes,METABOLIC HEALTH ASSOCIATES - FLINT,MI,48598,26049,Genesee County,6941,19476.5,2.1315,14.3,67.19,1,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,2.806,80.0,15.41,35.94,ADEQUATE,1,0.141888,0.110261,41.22,98.35,991.57
1800000010,WILLIAMS JULIA,Endocrinology,Diabetes,Family Medicine,No,DIABETES CARE CENTER - BURTON,MI,48592,26049,Genesee County,8663,21722.6,2.0617,7.6,68.15,0,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,2.5075,80.0,15.41,35.94,ADEQUATE,1,0.177089,0.122977,36.1,41.35,1237.57
1800000011,GARCIA PRIYA,Endocrinology,Diabetes,Family Medicine,Yes,ENDOCRINE SPECIALISTS GROUP - DAVISON,MI,48512,26049,Genesee County,6834,30445.8,2.0715,9.5,58.17,1,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,4.455,80.0,15.41,35.94,ADEQUATE,1,0.1397,0.172361,36.8,57.0,976.29
1800000012,PATEL DAVID,Endocrinology,Diabetes,Family Medicine,Yes,ENDOCRINE SPECIALISTS GROUP - FLINT,MI,48584,26049,Genesee County,4663,19555.6,1.9013,7.1,66.02,1,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,4.1938,80.0,15.41,35.94,ADEQUATE,1,0.095321,0.110709,25.4,37.05,666.14
1800000013,WRIGHT ELENA,Endocrinology,Diabetes,Internal Medicine,Yes,METABOLIC HEALTH ASSOCIATES - DAVISON,MI,48552,26049,Genesee County,7547,27649.8,1.7356,7.1,58.75,1,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.6637,80.0,15.41,35.94,ADEQUATE,1,0.154275,0.156532,17.12,37.05,1078.14
1800000014,HARRIS LUCAS,Endocrinology,Diabetes,Family Medicine,Yes,DIABETES CARE CENTER - DAVISON,MI,48597,26049,Genesee County,5893,20020.8,1.7844,9.0,80.95,1,7,48919,48919.0,176639.5,6988.428571428572,6988.428571428572,8,1,87.5,64.0,3.3974,80.0,15.41,35.94,ADEQUATE,1,0.120464,0.113343,19.25,52.6,841.86
1800000015,CLARK MAYA,Psychiatry,Mental Health Disorders,Behavioral Health,Yes,COMMUNITY MENTAL HEALTH CENTER - FLINT,MI,48506,26049,Genesee County,11719,53253.3,2.5087,9.9,76.64,1,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,4.5442,100.0,31.05,57.99,LOW GAP,3,0.203007,0.260857,67.45,60.78,1953.17
